,논문제목,연도,링크
749,"지역사회 의료자원 이용의 효율성과 건강수준 간의 관련성 분석 -서울,경기 지역을 중심으로-",2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1b09d9732fd7e0d77f7a54760bb41745&keyword=
750,외부 반출 PET/CT 영상 현황 및 개선점,2010,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b0f099208cfa2808e9810257f7042666&keyword=
751,웹 기반 식사 조사 프로그램 ‘Diet Evaluation System (DES)’의 개발과 지역사회 영양조사에서 적용가능성 시험,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=73519b1a3d978f04c85d2949c297615a&keyword=
752,지적장애인을 위한 직업재활프로그램 효과성연구 : 체계적 고찰,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f40b063ed01801d76aae8a972f9116fb&keyword=
753,서울시정신보건 기관 현황 추이분석을 위한 조사연구,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=866d940e2021bfa86aae8a972f9116fb&keyword=
754,활성자극 파라다임 fMRI에서 저주파요동 성분분석,2010,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=48fa31d04160025b4884a65323211ff0&keyword=
755,약물 이상반응,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=44328e0c381c92f66aae8a972f9116fb&keyword=
756,Open Source를 이용한 MicroPACS의 구성과 활용,2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7b0e227f2142b2f247de9c1710b0298d&keyword=
757,산재노동자의 직장복귀 형태 및 원직장 고용유지에 영향을 미치는 요인,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=20092e8d1493128ee9810257f7042666&keyword=
758,기계학습을 활용한 부적합 열화상 이미지 판별 시스템,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=98fa7aef76fcee0be9810257f7042666&keyword=
759,의료보험 전산자료 주상병명으로 파악한 주물공장 근로자들의 폐암,2000,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=31e226ef8bbbad9c4884a65323211ff0&keyword=
760,불균형 자세 예방용 IMU 내장 넥밴드를 이용한 앉은 자세 분류,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=006c3dd1995f5c347f7a54760bb41745&keyword=
761,종단자료를 활용한 우리나라 노인의 우울 변화요인 분석,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8265e5739a6c1e23c85d2949c297615a&keyword=
762,고온건조 환경에 따른 한국 여성의 피부 특성인자와 피부  바이오 마커를 활용한 피부 지수 개발,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=42500ea6e08d7a88e9810257f7042666&keyword=
763,색 보정 및 색 좌표 변환 기법을 이용한 요분석 시스템의 구현,2003,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2d6c49e749a5638747de9c1710b0298d&keyword=
764,다문화가정 영유아와 한국인가정 영유아의 발달장애에 대한 비교 연구,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a131bf0c10f4b6177f7a54760bb41745&keyword=
765,"DEMIS의 간호과정 전산화 프로그램 개발 -NANDA, NOC, NIC-의 연계를 이용하여-",2006,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f122c60e846dbce1ffe0bdc3ef48d419&keyword=
766,게이트 심근 SPECT 분석 소프트웨어의 개발과 좌심실 수축 기능 평가,2003,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9c4682a4e54b6b79ffe0bdc3ef48d419&keyword=
767,자폐스펙트럼장애를 위한 작업치료 중재법에 대한 고찰연구 - 국내 연구논문을 중심으로 -,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7e0b3552d22fb2c06aae8a972f9116fb&keyword=
768,건강보험 청구자료분석을 통한 요양시설과 요양병원 노인의 급성기병원 입원 및 사망의 관련 요인,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=91314ef962af3a407ecd42904f0c5d65&keyword=
769,기능적 자기공명영상을 이용한 침 연구에 있어서 개체 별 다양성이 그룹분석에 미치는 영향 연구,2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b000371660fb2c3347de9c1710b0298d&keyword=
770,당뇨병 유병률의 지역 간 변이 요인,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=48453b62d4ef88597ecd42904f0c5d65&keyword=
771,어린이집 정원충족률에 따른 폐쇄위험과 수급조절 방안,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=fff44af961b63fa0e9810257f7042666&keyword=
772,부부의 사회경제적 특성과 혼인 해체,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e6aa0402a85798e5b7998d826d417196&keyword=
773,목의 손상 입원환자의 중증도 보정 재원일수 변이요인,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5963a102faf692b64884a65323211ff0&keyword=
774,저전력 스마트 기기를 위한 정적 및 동적 손동작 인식 연구,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=387bbe1ce82b77597ecd42904f0c5d65&keyword=
775,대기오염의 보건효과 추정 및 의료비 추계,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=15c04aaa8b9001bd6aae8a972f9116fb&keyword=
776,지역사회 영유아 지원서비스가 어린이집 충족률에 미치는 영향,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=19211cd2d4da1b194884a65323211ff0&keyword=
777,손자녀 양육이 고령자의 건강에 미치는 효과 : 도구변수 분석법을 활용하여,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0e6242eca50cff597f7a54760bb41745&keyword=
778,Navarro 정밀모형안을 이용한 노안 정밀모형안의 전산모사,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5f80fe030c3ee485b7998d826d417196&keyword=
779,예방접종이 영유 아 사망률 및 교육성과에 미치는 영향,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=93294fa54b9c05ccffe0bdc3ef48d419&keyword=
780,화장품 안전성 자료조사법 및 국내외 화장품 성분 안전성 평가 동향,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=cac3cfb8fd98c6e47f7a54760bb41745&keyword=
781,"Observation of Complete Blood Count and Biochemical Parameter after Indirect Moxibustion (CV4, CV8) in Healthy Adults",2010,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0a8fb45b63f5eb95ffe0bdc3ef48d419&keyword=
782,비정형 한의학텍스트 자동정형화프로그램 알고리즘개발 - 동의보감 약재정보를 중심으로,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=400546b90f323eb7b36097776a77e665&keyword=
783,와파린 복용 환자를 위한 메신저 기반 챗봇 개발,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1c5581250a9f846547de9c1710b0298d&keyword=
784,한국인체자원은행네트워크 포털을 이용한 질환자원 검색 및 분양 플랫폼 소개,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ce3e154e64109842b7998d826d417196&keyword=
785,『古今圖書集成』과 韓 · 中 醫學交流,2002,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=eb08f210daf31fcaffe0bdc3ef48d419&keyword=
786,장애청소년의 전환프로그램 : 연구 동향 분석과 체계적 고찰,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4670d8b0d96549414884a65323211ff0&keyword=
787,딥 러닝 기반의 제스처 인식 시스템,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f5b463a549218e7cc85d2949c297615a&keyword=
788,산재환자의 업종별 작업능력평가 세부항목 분석 : 한국표준산업분류를 중심으로,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=177745a36ef434697f7a54760bb41745&keyword=
789,동적 교합을 나타내는 가상 환자의 형성을 통한 심미적인 전치부 보철 수복 증례,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=74e101853f19de577ecd42904f0c5d65&keyword=
790,관성측정장치를 이용한 보행거리 측정 시스템 개발,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7717a0c9f592a978b7998d826d417196&keyword=
791,경기도 물리치료사의 치매 국가책임제 인식도 조사연구,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0c309ef6eebe71b1e9810257f7042666&keyword=
792,‘큐레이 바이오메탈’ 기제품이 인체의 뇌기능 및 생체에너지장에 미치는 영향,2010,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ae3380c26035a3d5ffe0bdc3ef48d419&keyword=
793,디지털 치과 방사선 중심의 통합 치과 임상 진단시스템(Hello-Doctor<SUP>TM</SUP>) 개발,2000,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ff133d5921835507ffe0bdc3ef48d419&keyword=
794,컨볼루션 신경망의 End-to-End 앙상블 방법을 활용한 흉부 X-ray 영상 기반 COVID-19 진단 모델 연구,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2779636b9f267069b36097776a77e665&keyword=
795,일반 노인들의 시간사용 실태 분석 : 체계적 고찰,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ff06d9a9ddf8f1a87ecd42904f0c5d65&keyword=
796,실제 및 시뮬레이션 환경에서의 적대적 공격 기법 연구 동향,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ee2fab5a28379eff47de9c1710b0298d&keyword=
797,잠재의미분석방법을 통한 학교보건 연구동향 분석,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=919d1058e8f091b947de9c1710b0298d&keyword=
798,TOMO HDA와 Radixact 치료 계획 간 Transfer에 대한 유용성 평가 : Planning Study,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8d7601a2c5226242c85d2949c297615a&keyword=
799,Role of Artificial Intelligence for Ultrasonography Practice and Training in Future,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e6bc409a755aad59d18150b21a227875&keyword=
800,사무직 여성의 비만요인에 따른 NK세포 활성도 관계 연구,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=34ea91631d1cbdff47de9c1710b0298d&keyword=
801,Bruininks-Oseretsky Test of Motor Proficiency-2(BOT-2) 단축형을 사용한 학령전기 아동의 운동능력에 대한 연구,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7659d8f683e10e867ecd42904f0c5d65&keyword=
802,노인근로자의 직무특성 및 여가활동참여가 건강에 미치는 영향,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e939ec9dffbe8d1d4884a65323211ff0&keyword=
803,3D 프린팅 기술을 적용한 상지 보조기 제작 방법에 관한 체계적 고찰,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e939ec9dffbe8d1d7ecd42904f0c5d65&keyword=
804,체침과 수지용 쑥봉을 이용한 척추협착 구두침법에 관한 연구,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=fbf43916b9c55089ffe0bdc3ef48d419&keyword=
805,노인의 인지 기능 향상을 위한 전산화 인지 훈련의 효과 : 체계적 고찰,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=85e9a616b1aff853b7998d826d417196&keyword=
806,유방암 환자의 사망에 영향을 미치는 요인 -중앙암등록본부 협력병기(CS) 자료를 중심으로-,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e56a6aae499cf9da7f7a54760bb41745&keyword=
807,교육 및 사회정책의 출산율 고양효과에 대한 비교 연구: System-GMM을 활용한 26개국 18년간의 패널 자료 분석 결과를 중심으로,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=171137f9cdc1f1bb4884a65323211ff0&keyword=
808,의사결정트리를 이용한 성인의 미충족 치과의료 영향 요인과 이유 분석,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=73d9422b0acd883a4884a65323211ff0&keyword=
809,처방 유사도 분석의 효율성 향상에 관한 연구,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ee0f0793df48e5e847de9c1710b0298d&keyword=
810,노인 운전자의 운전수행 중재에 관한 체계적 고찰,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b75c136b887d86f17f7a54760bb41745&keyword=
811,체내 삽입장치에 대한 MRI 적합성 및 처방 제어프로그램 개발,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=050231351d2c6bea7ecd42904f0c5d65&keyword=
812,폐암 생존율 향상을 위한 아다부스트 학습 기반의 컴퓨터보조 진단방법에 관한 연구,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=57dd8b0120c138284884a65323211ff0&keyword=
813,무용전공 여자대학생의 신경성 대식증에 관한 연구,2006,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5071e5397043d8496aae8a972f9116fb&keyword=
814,소동물 폐종양의 정량적 개선을 위한 내부 움직임 평가,2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0871a593051c456d6aae8a972f9116fb&keyword=
815,좌측 유방암 환자의 방사선치료 중 환자의 호흡과 심장 위치 분석을 통한 Deep inspiration breath-hold(DIBH) 기법의 재현성 평가,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4f82d35adcfab4367ecd42904f0c5d65&keyword=
816,AAPM TG18에 의한 진단용 LCD 디스플레이 장치 정도관리 효과의 정량적 분석,2006,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5b89ea556b3a0697b7998d826d417196&keyword=
817,인터넷을 이용한 한국인 체질인류학 관련 자료의 검색프로그램 개발,2000,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=688d422bb114e46dffe0bdc3ef48d419&keyword=
818,개선된 블록 기반 영상차 방법에 기초을 둔 차영상 분석에 의한 실시간 이동물체 추적 시스템,2003,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=539e419df0ccaeefffe0bdc3ef48d419&keyword=
819,공황발작으로 응급실에 내원한 공황장애 환자들의 임상 특징,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8a7b30f4afd790a347de9c1710b0298d&keyword=
820,장기요양시설 평가제도의 변화가 평가등급과 운영의 변동을 가져왔는가?,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=57f684569bbe9abd6aae8a972f9116fb&keyword=
821,표본정보관리 프로그램에서 SVG를 이용한 채집지 위치 시각화,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5d87abc6aa210206ffe0bdc3ef48d419&keyword=
822,해부학 교육을 위한 아나토그래픽 (anatographic)의 효과와 이용가능성,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c90905d05339740ce9810257f7042666&keyword=
823,계층별 가계소득의 구성과 분포의 비교,2003,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a2157adc2e59fc1147de9c1710b0298d&keyword=
824,"대한민국 성인에서 비만에 대한 수은과 ALT의 관련성: 11년간의 국민건강영양조사 자료를 사용하여 (KNHANES 2005, 2008∼2017)",2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5e96f6adbbca19e6d18150b21a227875&keyword=
825,노인의 일화기억 평가를 위한 가상현실 기반의 인지과제에 대한 체계적 고찰,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=cb49a80a8d04910d47de9c1710b0298d&keyword=
826,Myocardial SPECT시 COR에서 위치변화에 따른 Image Uniformity 비교,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=aef5499d3ddfdc494884a65323211ff0&keyword=
827,${T_2}weighted$- Half courier Echo Planar Imaging,2001,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0626782a7ad4dc384884a65323211ff0&keyword=
828,A Preliminary Analysis of History-Taking Questions in Korean Primary Care Contexts,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1448170b36a40e47e9810257f7042666&keyword=
829,중심장액맥락망막병증과 뇌졸중 및 허혈심장질환 위험도: 표본코호트를 이용한 인구기반 연구,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b249acba1f847a63b7998d826d417196&keyword=
830,양전자방출단층촬영을 이용한 초점주의와 작동기억의 뇌 활성화 양상 비교,2001,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=23abefc7dd6ddebb&keyword=
831,미국의 응급피임약 판매정책의 변화와 여성의 성행위 변화양상에 관한 실증연구,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=66c986be544063b66aae8a972f9116fb&keyword=
832,뇌손상 환자의 원격 인지재활에 관한 체계적 고찰,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b8d0ed180b99c52147de9c1710b0298d&keyword=
833,성인 입원환자에게 유용한 낙상위험사정도구: 체계적 문헌고찰과 메타분석,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=cecc30bcdcb7a2217ecd42904f0c5d65&keyword=
834,"지역사회 성인중도장애인의 사회적 지지, 자기효능감 및 재활동기 간의 인과관계 모형분석",2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=eb79b6ae9e9c038bc85d2949c297615a&keyword=
835,차세대 EMR의 발전 방향,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=02897c75046d057dffe0bdc3ef48d419&keyword=
836,국내 아동학대의 예방적 개입과 치료적 개입의 효과에 관한 메타분석,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a0bb22817416f6a77ecd42904f0c5d65&keyword=
837,소아 원위 요골 골절의 치료 경향: 대한민국 인구 기반 연구,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ffdf156c29e29f777ecd42904f0c5d65&keyword=
838,심전도의 디지털 기록화 모듈과 개인용컴퓨터 저장/분석시스템의 개발,2001,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ddc0cda7b8a7587b&keyword=
839,구강 내 디지털 인상채득을 통한 상악 전치부 임플란트 즉시 임시 보철 수복 증례,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c0419670776be2767ecd42904f0c5d65&keyword=
840,진단검사의학과 검사건수에 영향을 미치는 요인 분석,2004,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f3214451ebd4fd50ffe0bdc3ef48d419&keyword=
841,한국 성인의 지역과 교육수준에 따른 굴절이상에 관한 연구,2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d651333414c934b8e9810257f7042666&keyword=
842,기후변화와 식중독 발생 예측,2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d037c329f092bc4e6aae8a972f9116fb&keyword=
843,불안장애 아동의 감각자극에 대한 생리학적 반응: 체계적 고찰,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b3a3b0d5ad3374d7e9810257f7042666&keyword=
844,"고정식 초점형 SPECT에 있어, 선예도와 감도의 공간 균일성에 대한 평가",2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=edef901f14754691b36097776a77e665&keyword=
845,환자표본자료를 이용한 간경변증 환자의 의료이용 특성 및 의료비용 분석,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3e282612f197f2b7b7998d826d417196&keyword=
846,부착형 침상머리 각도 모니터링 시스템 개발 및 성능 분석,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9f36561b01525fbdb36097776a77e665&keyword=
847,배우자와의 나이차이와 건강상태 및 의료이용의 관련성,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=dcf911dc41d69a24c85d2949c297615a&keyword=
848,굴절이상도와 사위도의 상관관계 연구,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=624a3762ec619133c85d2949c297615a&keyword=
849,아동이 지각한 부모양육방식과 학교생활적응과의 관계에서 자아탄력성의 매개효과,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1482dc102e07f02bffe0bdc3ef48d419&keyword=
850,치매환자에게 지역사회기반(community-based) 중재를 실시한 무작위대조군연구에 대한 체계적 고찰,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d8abe08915bf00297f7a54760bb41745&keyword=
851,"민간의료보험, 공보험과의 공진화: 최근 20년간 우리나라의 민간의료보험 연구 동향",2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=275b710fa8e305cb6aae8a972f9116fb&keyword=
852,지역사회 노인 운전자를 대상으로 한 운전중재 프로그램 효과에 관한 메타분석,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1abaae5e72869a26b7998d826d417196&keyword=
853,사별한 배우자의 삶의 질에 영향하는 요인: 체계적 문헌고찰,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f482be2c02326c46e9810257f7042666&keyword=
854,PET/CT 저선량 적용 시 CT 감쇠보정법에 따른 피폭선량 저감효과,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0e81e3de10850adab7998d826d417196&keyword=
855,일제강점기 한의약계 독립운동 유형과 특징,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=977109c422c439fce9810257f7042666&keyword=
856,다양한 한국인의 표준뇌를 개발하기 위한 영상 및 개인정보 관리 시스템의 개발,2004,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=16e5f749d081620fb36097776a77e665&keyword=
857,국내 생명보험 질병별 사망율 연구를 위한 제언,2003,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=642da243a9a0300eb7998d826d417196&keyword=
858,지역사회기반(Community-Based) 중재가 뇌졸중 환자의 일상생활활동에 미치는 효과 : 체계적 고찰 및 메타분석,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9761df5eeb6a9abed18150b21a227875&keyword=
859,20. HOMA 모델의 사용과 남용,2004,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=75e2b3637695c61effe0bdc3ef48d419&keyword=
860,의료 영상을 이용한 인체 역학적 구조물 특징 추출 및 영상 분할,2004,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=704c90a08e1e38ff4884a65323211ff0&keyword=
861,한국복지패널(2005-2011)의 다차원적 빈곤개념을 활용한 도시 · 농촌 간 빈곤 격차에 대한 연구,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=116914a2516f3082e9810257f7042666&keyword=
862,한국 성인에서 백내장 유병률과 흡연 및 사회경제적 수준의 관계,2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=089eba14b45fd42db7998d826d417196&keyword=
863,"국내 중학생의 자살생각 빈도에 미치는 영향 요인: 영과잉 음이항(Zero-Inflated Negative Binomial, ZINB) 회귀분석 방법을 이용하여",2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6e64f6ba89528d15c85d2949c297615a&keyword=
864,원예치료가 국내치매노인의 일상생활수행능력에 미치는 효과에 관한 체계적 고찰,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d29b5b13daf70c867ecd42904f0c5d65&keyword=
865,난임 여성 대상 심리사회적 중재 프로그램의 통합적 문헌고찰,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=aa10a278aeb40734e9810257f7042666&keyword=
866,병원 간호사 재직의도의 연구 동향 분석:  2012-2022년 발표논문을 중심으로,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2417148880ba40796aae8a972f9116fb&keyword=
867,대한민국 흉부외과 의사들의 논문저술경향의 변화,2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d4873713e686d7197ecd42904f0c5d65&keyword=
868,WBAN 환경에 따른 유동적 상태 전환 Mac Protocol,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a173dc1716176029ffe0bdc3ef48d419&keyword=
869,프로 골프선수의 TPI Level 1 Test Score에 따른 경기력 수준 분석,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a0e1de5b31d2092fb7998d826d417196&keyword=
870,린 6시그마와 시뮬레이션을 활용한 병원 응급실 프로세스 개선,2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7602d8676aa6c34cc85d2949c297615a&keyword=
871,코로나19 감염과 그 이후의 정신신체증상,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=81254cbc9874f31dc85d2949c297615a&keyword=
872,한국 청소년에서 치통과 자살 생각의 연관성,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ef1f0e539c6a07e4c85d2949c297615a&keyword=
873,정신건강 지식에 영향을 미치는 요인 분석,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e7c0b7da444daccfb7998d826d417196&keyword=
874,이동형 생체계측을 위한 임베디드 컴퓨팅,2003,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b30aacadc06a4ba5ffe0bdc3ef48d419&keyword=
875,상악 선천성 결손과 하악 골격성 제3급 부정교합 경향성을 보이는 환자에게서 CAD-CAM 기법을 이용한 진단과 고정성 보철 수복 증례 보고,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=694209c01852e88d47de9c1710b0298d&keyword=
876,장애학생들의 학교생활 참여향상을 위한 작업치료적 중재법 고찰 : 보조공학을 중심으로,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=136b50acb1fa58074884a65323211ff0&keyword=
877,노인의 신체활동과 도구적 일상생활활동 사이의 인지기능의 매개효과,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=68357465e6ff22376aae8a972f9116fb&keyword=
878,골절치료용 체외고정기기 개발을 위한 연구,2002,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=354f44ff90b5efbc4884a65323211ff0&keyword=
879,PET/CT 영상에서 조영제를 이용한 CT 영상의 보정(Correction)에 따른 표준화섭취계수(SUV)의 영향,2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=681e231be6fd70b57ecd42904f0c5d65&keyword=
880,EEG 신호 정확도 향상을 위한 시뮬레이션 소프트웨어 개발,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2f18a1eb0be17045b36097776a77e665&keyword=
881,수술용 가이드와 modeless 디지털 보철물을 이용한 하악 구치부 단일 임플란트 즉시 하중 증례,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8225115aeafbbdeec85d2949c297615a&keyword=
